series_key,model_name,model_family,horizon,n_points,MAE,RMSE,wMAPE,signed_bias,error_variability,std_score_MAE
SWE-Go Local,FixedGrowth_1_5,growth_baseline,30,12,2197.3262,3215.5333,6.5736,-756.5875,3125.2568,0.081
SWE-Go Local,XGBoost,machine_learning,30,12,2190.6189,3265.6776,6.5536,-1310.6257,2991.1387,0.08
NAM-GCC Low,ETS Explicit,statistical,30,12,2176.4459,3924.2674,1.0957,-730.6441,3855.6496,0.078
SWE-Go Local,LinearRegression,machine_learning,30,12,2170.8204,2916.0925,6.4943,-531.5088,2867.245,0.077
ARE-Go Local,LinearRegression,machine_learning,30,12,2162.9156,4023.409,4.5262,1754.6906,3620.6189,0.076
ESP-Go Local,ETS Explicit,statistical,30,12,2166.7913,4264.5304,20.2153,-1136.4095,4110.3276,0.076
POL-Go Local,LinearRegression,machine_learning,30,12,2126.8732,3004.9638,19.6521,1350.0759,2684.6047,0.071
SWE-Go Local,Theta,statistical,30,12,2126.3645,3234.3699,6.3613,-966.8742,3086.471,0.071
DEU-Go Local,FixedGrowth_4,growth_baseline,30,12,2118.5948,2741.37,2.5963,1323.4157,2400.7666,0.07
ARE-Go Local,Theta,statistical,30,12,2102.8288,3758.6114,4.4005,764.3386,3680.0743,0.067
FRA-Go Local,ETS Explicit,statistical,30,12,2085.4688,2911.2121,2.1306,749.7625,2813.0076,0.065
ARE-Go Local,FixedGrowth_1_5,growth_baseline,30,12,2082.6532,3868.0822,4.3582,1159.1456,3690.3173,0.064
POL-Go Local,ARIMA_Fixed,statistical,30,12,2034.4369,3644.635,18.798,-972.6255,3512.4584,0.058
QAT-Go Local,ARIMA_Fixed,statistical,30,12,2021.0814,5908.5561,29.9952,-1583.9518,5692.287,0.056
EUR-Dedicated,FixedGrowth_3,growth_baseline,30,12,1984.4995,2768.6943,8.0647,1513.5252,2318.3852,0.051
DEU-Go Local,Theta,statistical,30,12,1980.4713,2660.8967,2.427,-1253.3528,2347.2277,0.05
NAM-GCC Low,FixedGrowth_1_5,growth_baseline,30,12,1962.2331,3847.5262,0.9878,1.4824,3847.5259,0.048
FRA-Go Local,Theta,statistical,30,12,1958.4082,2808.0199,2.0008,218.2186,2799.5278,0.047
ESP-Go Local,AutoARIMA,statistical,30,12,1924.3044,3685.2337,17.953,-1002.819,3546.1671,0.042
ARE-Go Local,AutoARIMA,statistical,30,12,1912.0282,3569.763,4.0012,974.3209,3434.2258,0.041
POL-Go Local,ETS Explicit,statistical,30,12,1844.7882,3439.865,17.0457,-1070.1433,3269.1688,0.031
FRA-Go Local,LightGBM,machine_learning,30,12,1829.9712,2395.8128,1.8696,-390.3837,2363.7935,0.029
POL-Go Local,AutoARIMA,statistical,30,12,1810.6049,3424.5948,16.7298,-1020.3424,3269.0597,0.026
NOR-Go Local,ARIMA_Fixed,statistical,30,12,1771.129,4729.1342,9.1764,-1350.1114,4532.3183,0.021
SWE-Go Local,ETS_Current,statistical,30,12,1718.2867,2364.3662,5.1405,-550.2975,2299.4348,0.014
NAM-GCC Low,LinearRegression,machine_learning,30,12,1685.8555,3209.8626,0.8487,229.5979,3201.6406,0.009
SWE-Go Local,ETS Explicit,statistical,30,12,1674.3738,2390.5034,5.0091,-153.87,2385.5462,0.007
EUR-Dedicated,FixedGrowth_1_5,growth_baseline,30,12,1655.5467,2548.7245,6.7279,1133.124,2282.9863,0.005
FRA-Go Local,XGBoost,machine_learning,30,12,1621.4456,2089.0384,1.6566,-160.4112,2082.8705,0.0
EUR-Dedicated,AutoARIMA,statistical,30,12,1609.0389,3058.1804,6.5389,-77.1603,3057.2069,-0.002
DEU-Go Local,ETS Explicit,statistical,30,12,1568.3947,2484.3447,1.922,-730.6679,2374.4669,-0.007
NOR-Go Local,FixedGrowth_6,growth_baseline,30,12,1557.7266,2604.4523,8.0707,151.8935,2600.0193,-0.009
EUR-Dedicated,LinearRegression,machine_learning,30,12,1520.6112,2809.9485,6.1795,379.2322,2784.2402,-0.014
KOR-Go Local,AutoARIMA,statistical,30,12,1519.7241,1932.4816,6.6292,366.7098,1897.369,-0.014
DEU-Go Local,FixedGrowth_3,growth_baseline,30,12,1505.0387,2441.9469,1.8444,526.059,2384.6104,-0.016
ITA-Go Local,FixedGrowth_6,growth_baseline,30,12,1509.7586,1891.152,11.8125,-441.8606,1838.8081,-0.016
EUR-Dedicated,Theta,statistical,30,12,1496.5935,2425.7878,6.0819,893.5438,2255.222,-0.017
GBR-Dedicated,ARIMA_Fixed,statistical,30,12,1501.026,3721.9692,172.6589,-620.2373,3669.9265,-0.017
DEU-Go Local,FixedGrowth_1_5,growth_baseline,30,12,1484.5961,2457.0002,1.8193,-669.9761,2363.8913,-0.019
KOR-Go Local,ARIMA_Fixed,statistical,30,12,1479.7915,2121.1229,6.455,69.3395,2119.9893,-0.02
POL-Go Local,FixedGrowth_6,growth_baseline,30,12,1475.456,1902.0406,13.6331,-438.3598,1850.8374,-0.02
POL-Go Local,LightGBM,machine_learning,30,12,1480.0816,2465.932,13.6758,-1333.8823,2074.0248,-0.02
NOR-Go Local,LinearRegression,machine_learning,30,12,1471.2234,3070.8221,7.6225,-187.9571,3065.0645,-0.021
NOR-Go Local,ETS_Current,statistical,30,12,1461.5665,2968.9596,7.5725,-297.661,2954.0005,-0.022
ESP-Go Local,FixedGrowth_6,growth_baseline,30,12,1460.4526,1999.413,13.6254,-542.8687,1924.304,-0.023
ITA-Go Local,ETS_Current,statistical,30,12,1457.2545,2754.8991,11.4017,-943.9058,2588.1482,-0.023
NOR-Go Local,ETS Explicit,statistical,30,12,1417.9669,3060.9092,7.3466,-304.5037,3045.7253,-0.028
ESP-Go Local,LightGBM,machine_learning,30,12,1414.3351,2542.3731,13.1952,-1395.0026,2125.4714,-0.029
ZAF-Go Local,FixedGrowth_4,growth_baseline,30,10,1417.4453,1614.2109,2.5676,1417.4453,772.3507,-0.029
ITA-Go Local,LightGBM,machine_learning,30,12,1405.5081,2230.54,10.9968,-1325.9336,1793.6579,-0.03
SGP-Go Local,FastNeuralAR_MLP,lightweight_neural,30,10,1390.7335,1487.6655,43.2008,1390.7335,528.2128,-0.032
QAT-Go Local,ETS Explicit,statistical,30,12,1388.7077,3688.0882,20.6101,-983.3258,3554.5837,-0.033
ITA-Go Local,FixedGrowth_4,growth_baseline,30,12,1369.6441,1891.9628,10.7162,-674.6754,1767.5792,-0.035
POL-Go Local,FixedGrowth_4,growth_baseline,30,12,1349.5491,1895.144,12.4697,-634.2894,1785.8465,-0.038
EUR-Dedicated,LightGBM,machine_learning,30,12,1334.2302,2267.082,5.4221,843.8032,2104.1998,-0.04
ESP-Go Local,FixedGrowth_4,growth_baseline,30,12,1326.1877,1999.6504,12.3728,-734.863,1859.7253,-0.041
EUR-Dedicated,XGBoost,machine_learning,30,12,1325.4418,2249.6555,5.3864,799.8434,2102.6651,-0.041
APC-Dedicated,FastNeuralAR_MLP,lightweight_neural,30,12,1296.3507,1897.9144,135.1047,400.2423,1855.2319,-0.045
ITA-Go Local,FixedGrowth_3,growth_baseline,30,12,1299.5868,1905.4885,10.1681,-791.0827,1733.5151,-0.045
POL-Go Local,FixedGrowth_3,growth_baseline,30,12,1286.5957,1901.3776,11.888,-732.2542,1754.7195,-0.047
NOR-Go Local,LightGBM,machine_learning,30,12,1276.462,2926.8013,6.6135,-1249.4257,2646.7152,-0.048
NOR-Go Local,FixedGrowth_4,growth_baseline,30,12,1273.1482,2564.7047,6.5963,-215.1418,2555.6651,-0.049
KOR-Go Local,LightGBM,machine_learning,30,12,1263.7536,2032.2474,5.5126,-1244.8529,1606.3533,-0.05
ZAF-Go Local,LightGBM,machine_learning,30,10,1266.2962,1391.1247,2.2938,-1089.1315,865.4597,-0.05
BRA-Go Local,ETS_Current,statistical,30,12,1259.108,1723.0515,2.4821,-192.9119,1712.2183,-0.051
ESP-Go Local,FixedGrowth_3,growth_baseline,30,12,1259.0681,2008.942,11.7466,-830.8601,1829.076,-0.051
TWN-Go Local,FastNeuralAR_MLP,lightweight_neural,30,7,1255.3945,1610.2855,63.1914,-1199.5635,1074.2751,-0.051
BRA-Go Local,FixedGrowth_4,growth_baseline,30,12,1236.1158,1533.7029,2.4368,1236.1158,907.889,-0.054
NOR-Go Local,AutoARIMA,statistical,30,12,1234.1169,2786.754,6.3941,-473.5023,2746.2326,-0.054
CHE-Go Local,FixedGrowth_6,growth_baseline,30,12,1227.0914,1347.1389,3.8255,1127.8636,736.6865,-0.055
ITA-Go Local,Theta,statistical,30,12,1218.9357,1958.478,9.5371,-979.4379,1695.9768,-0.056
ESP-Go Local,Theta,statistical,30,12,1212.7158,2049.8593,11.3142,-971.2908,1805.1364,-0.057
ITA-Go Local,FixedGrowth_1_5,growth_baseline,30,12,1200.1626,1941.7051,9.3902,-965.6937,1684.5338,-0.059
KOR-Go Local,FixedGrowth_6,growth_baseline,30,12,1198.4964,1504.7449,5.228,407.8064,1448.4306,-0.059
ESP-Go Local,FixedGrowth_1_5,growth_baseline,30,12,1192.514,2034.129,11.1257,-974.8559,1785.3114,-0.06
POL-Go Local,FixedGrowth_1_5,growth_baseline,30,12,1192.1655,1922.6764,11.0155,-879.2013,1709.88,-0.06
POL-Go Local,XGBoost,machine_learning,30,12,1195.3993,1969.5656,11.0454,-1064.2837,1657.2534,-0.06
KOR-Go Local,ETS_Current,statistical,30,12,1184.5099,1763.1455,5.167,99.2763,1760.3484,-0.061
POL-Go Local,Theta,statistical,30,12,1181.245,1946.5917,10.9146,-940.7055,1704.1985,-0.062
DEU-Go Local,LinearRegression,machine_learning,30,12,1170.0881,2191.3223,1.4339,33.3661,2191.0682,-0.063
CHE-Go Local,ARIMA_Fixed,statistical,30,12,1161.8921,1717.5998,3.6223,-226.5399,1702.5947,-0.064
ESP-Go Local,XGBoost,machine_learning,30,12,1147.8015,2055.6526,10.7085,-1116.1111,1726.2688,-0.066
NOR-Go Local,FixedGrowth_3,growth_baseline,30,12,1146.5771,2566.001,5.9405,-398.6595,2534.8435,-0.066
KOR-Go Local,LinearRegression,machine_learning,30,12,1142.9888,1782.6085,4.9858,-210.8484,1770.095,-0.067
BRA-Go Local,LightGBM,machine_learning,30,12,1134.0184,1271.7119,2.2355,-914.4843,883.7248,-0.068
ZAF-Go Local,Theta,statistical,30,10,1115.4577,1446.5669,2.0206,-636.5547,1298.9818,-0.071
ITA-Go Local,XGBoost,machine_learning,30,12,1108.0773,1764.9522,8.6697,-1035.1395,1429.5252,-0.072
KOR-Go Local,XGBoost,machine_learning,30,12,1103.8399,1864.8711,4.8151,-1077.7786,1521.8862,-0.072
KOR-Go Local,ETS Explicit,statistical,30,12,1107.836,1857.0654,4.8325,-208.0644,1845.3729,-0.072
ZAF-Go Local,XGBoost,machine_learning,30,10,1098.1723,1236.1017,1.9893,-926.9361,817.7634,-0.073
NOR-Go Local,XGBoost,machine_learning,30,12,1070.4439,2716.8996,5.5461,-1021.5898,2517.5181,-0.077
ESP-Go Local,ETS_Current,statistical,30,12,1062.1248,1501.6861,9.9092,-204.6021,1487.6825,-0.078
BRA-Go Local,XGBoost,machine_learning,30,12,1046.0119,1187.1522,2.062,-833.3829,845.4604,-0.08
NOR-Go Local,FixedGrowth_1_5,growth_baseline,30,12,1009.3165,2594.4294,5.2294,-673.936,2505.3691,-0.086
CHE-Go Local,LightGBM,machine_learning,30,12,946.7924,1264.4074,2.9517,-944.1513,841.0139,-0.094
NOR-Go Local,Theta,statistical,30,12,946.2055,2618.3082,4.9024,-835.0613,2481.5742,-0.094
TWN-Go Local,LinearRegression,machine_learning,30,7,942.0784,1134.8411,47.4204,334.5694,1084.402,-0.095
KOR-Go Local,FixedGrowth_4,growth_baseline,30,12,928.4731,1434.3445,4.0501,-32.4287,1433.9779,-0.097
BRA-Go Local,Theta,statistical,30,12,911.1625,948.4546,1.7962,-343.3484,884.1256,-0.099
ZAF-Go Local,FixedGrowth_3,growth_baseline,30,10,915.9203,1163.2162,1.6591,873.0035,768.7242,-0.099
KOR-Go Local,Theta,statistical,30,12,895.7255,1622.0509,3.9073,-784.8826,1419.5099,-0.101
POL-Go Local,ETS_Current,statistical,30,12,889.2691,1248.7546,8.2168,-251.8584,1223.0926,-0.102
KOR-Go Local,FixedGrowth_3,growth_baseline,30,12,875.1494,1450.6708,3.8175,-252.5463,1428.5189,-0.104
KOR-Go Local,FixedGrowth_1_5,growth_baseline,30,12,865.0601,1537.3016,3.7735,-582.7227,1422.5788,-0.106
CHE-Go Local,XGBoost,machine_learning,30,12,859.0216,1168.541,2.678,-859.0216,792.1931,-0.107
BRA-Go Local,FixedGrowth_3,growth_baseline,30,12,842.0684,1163.6496,1.66,736.4686,900.9409,-0.109
CHE-Go Local,FixedGrowth_4,growth_baseline,30,12,826.2761,874.9532,2.576,501.3674,717.0591,-0.111
BRA-Go Local,FixedGrowth_1_5,growth_baseline,30,12,810.0411,891.5861,1.5969,-13.002,891.4913,-0.113
BRA-Go Local,LinearRegression,machine_learning,30,12,805.0444,942.8807,1.587,110.0861,936.432,-0.114
BRA-Go Local,AutoARIMA,statistical,30,12,785.9573,891.7907,1.5494,45.8412,890.6117,-0.117
BRA-Go Local,ETS Explicit,statistical,30,12,784.9891,890.804,1.5475,48.2623,889.4956,-0.117
NAM-SDF,XGBoost,machine_learning,30,12,777.18,959.4636,30.9096,-752.8664,594.7794,-0.118
NAM-MSIT,XGBoost,machine_learning,30,12,745.795,1199.0794,7.1862,-292.6368,1162.8221,-0.122
NAM-SDF,LightGBM,machine_learning,30,12,722.7501,902.2142,28.7448,-688.2156,583.3951,-0.126
ZAF-Go Local,ETS_Current,statistical,30,10,719.0518,873.8767,1.3025,390.5893,781.7292,-0.126
APC-Dedicated,ETS Explicit,statistical,30,12,706.2211,1379.2515,73.6018,-290.2158,1348.3729,-0.128
ZAF-Go Local,AutoARIMA,statistical,30,10,695.4126,921.9091,1.2597,-137.2395,911.6368,-0.129
ZAF-Go Local,ARIMA_Fixed,statistical,30,10,691.7132,722.3871,1.253,266.1848,671.557,-0.13
ZAF-Go Local,LinearRegression,machine_learning,30,10,680.1869,912.8435,1.2321,91.2745,908.2688,-0.132
CHE-Go Local,FixedGrowth_3,growth_baseline,30,12,662.542,733.8109,2.0655,188.1194,709.288,-0.134
APC-Dedicated,AutoARIMA,statistical,30,12,653.9829,1298.0325,68.1576,-245.4073,1274.6229,-0.135
QAT-Go Local,ETS_Current,statistical,30,12,648.1857,1253.5164,9.6198,-239.3228,1230.4585,-0.136
NAM-SDF,ETS_Current,statistical,30,12,644.4689,1320.6699,25.6315,378.097,1265.39,-0.137
NAM-SDF,ARIMA_Fixed,statistical,30,12,628.3376,987.1277,24.9899,281.6054,946.1076,-0.139
NAM-MSIT,FixedGrowth_6,growth_baseline,30,12,617.0269,871.699,5.9455,569.5395,659.912,-0.14
ZAF-Go Local,ETS Explicit,statistical,30,10,621.2215,836.4999,1.1253,-68.876,833.6595,-0.14
NAM-MSIT,LightGBM,machine_learning,30,12,602.7662,784.382,5.808,-37.4206,783.4889,-0.142
NAM-MSIT,AutoARIMA,statistical,30,12,595.5401,797.2408,5.7384,-11.9057,797.1519,-0.143
CHE-Go Local,Theta,statistical,30,12,588.7041,869.829,1.8353,-522.3134,695.5511,-0.144
NAM-MSIT,LinearRegression,machine_learning,30,12,591.436,747.1129,5.6989,-38.6796,746.1109,-0.144
ISR-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,581.5914,647.2274,55.2571,339.8372,550.8303,-0.145
APC-Dedicated,ETS_Current,statistical,30,12,573.1557,1259.1698,59.7339,-195.7518,1243.8608,-0.147
NAM-MSIT,ETS_Current,statistical,30,12,565.7439,794.1964,5.4513,212.6589,765.1955,-0.148
CHE-Go Local,LinearRegression,machine_learning,30,12,554.8088,770.0207,1.7296,-103.8967,762.9792,-0.149
TWN-Go Local,LightGBM,machine_learning,30,7,557.5312,736.3405,28.0638,-557.5312,480.9951,-0.149
ZAF-Go Local,FixedGrowth_1_5,growth_baseline,30,10,552.6208,767.4738,1.001,56.3408,765.403,-0.149
CHE-Go Local,ETS_Current,statistical,30,12,535.0748,731.1646,1.6681,-124.3811,720.5074,-0.152
NAM-MSIT,FixedGrowth_4,growth_baseline,30,12,532.6388,748.303,5.1323,362.9798,654.3722,-0.152
APC-Dedicated,LinearRegression,machine_learning,30,12,516.7097,880.0465,53.8511,-91.9013,875.2348,-0.154
NAM-MSIT,FixedGrowth_3,growth_baseline,30,12,514.6172,701.5446,4.9587,259.7,651.706,-0.155
NAM-MSIT,FixedGrowth_1_5,growth_baseline,30,12,504.3964,656.2576,4.8602,104.7802,647.8388,-0.156
NAM-MSIT,ETS Explicit,statistical,30,12,505.0203,651.0199,4.8662,44.0127,649.5304,-0.156
NAM-MSIT,Theta,statistical,30,12,505.6069,645.0714,4.8719,5.8574,645.0448,-0.156
CHE-Go Local,AutoARIMA,statistical,30,12,496.6654,770.1796,1.5484,-326.6314,697.4873,-0.157
TWN-Go Local,ETS_Current,statistical,30,7,497.0317,678.0869,25.0185,32.3938,677.3127,-0.157
CHE-Go Local,ETS Explicit,statistical,30,12,489.3619,774.1394,1.5256,-271.8571,724.8348,-0.158
NAM-MSIT,ARIMA_Fixed,statistical,30,12,490.2709,595.3214,4.7241,80.5468,589.8473,-0.158
CHE-Go Local,FixedGrowth_1_5,growth_baseline,30,12,486.0582,754.868,1.5153,-281.7528,700.315,-0.159
EUR-MSIT,FastNeuralAR_MLP,lightweight_neural,30,12,487.7906,494.0437,27.1766,-487.7906,78.3552,-0.159
NZL-Go Local,FastNeuralAR_MLP,lightweight_neural,30,7,486.9965,825.2937,141.2054,486.9965,666.2913,-0.159
MEX-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,475.6515,502.0049,43.5233,460.7451,199.3058,-0.16
APC-MSIT,FastNeuralAR_MLP,lightweight_neural,30,12,470.1689,480.7066,20.1955,-470.1689,100.1002,-0.161
QAT-Go Local,FixedGrowth_6,growth_baseline,30,12,452.8655,639.8705,6.7211,363.5605,526.553,-0.163
GBR-Dedicated,ETS_Current,statistical,30,12,432.8877,795.8232,49.7939,31.342,795.2058,-0.166
TWN-Go Local,XGBoost,machine_learning,30,7,408.0957,634.6203,20.5419,-408.0951,486.0055,-0.17
QAT-Go Local,LightGBM,machine_learning,30,12,398.7733,474.732,5.9183,-68.1523,469.8145,-0.171
TWN-Go Local,FixedGrowth_1_5,growth_baseline,30,7,397.9699,622.868,20.0322,-384.3104,490.1735,-0.171
TWN-Go Local,AutoARIMA,statistical,30,7,395.189,599.2954,19.8922,-26.1102,598.7263,-0.171
TWN-Go Local,ETS Explicit,statistical,30,7,397.1753,600.6443,19.9922,-27.5615,600.0116,-0.171
TWN-Go Local,FixedGrowth_3,growth_baseline,30,7,387.9494,612.2485,19.5278,-360.6304,494.7665,-0.172
TWN-Go Local,Theta,statistical,30,7,393.8219,616.9648,19.8234,-376.1587,489.0299,-0.172
QAT-Go Local,XGBoost,machine_learning,30,12,381.4873,486.5962,5.6617,-42.5209,484.7348,-0.173
TWN-Go Local,FixedGrowth_4,growth_baseline,30,7,381.2691,605.7922,19.1915,-344.8438,498.0632,-0.173
NAM-SDF,LinearRegression,machine_learning,30,12,380.523,422.8366,15.1339,-380.523,184.3722,-0.174
TWN-Go Local,FixedGrowth_6,growth_baseline,30,7,378.3328,594.448,19.0437,-313.2705,505.2029,-0.174
QAT-Go Local,AutoARIMA,statistical,30,12,369.9149,630.9741,5.49,64.9391,627.6234,-0.175
APC-Dedicated,ARIMA_Fixed,statistical,30,12,359.519,632.0483,37.4688,26.948,631.4736,-0.176
MEX-Go Local,ARIMA_Fixed,statistical,30,12,359.1409,1081.6433,32.8623,-322.2948,1032.5107,-0.176
QAT-Go Local,LinearRegression,machine_learning,30,12,348.2538,607.4625,5.1685,3.7689,607.4508,-0.178
QAT-Go Local,FixedGrowth_1_5,growth_baseline,30,12,337.9817,515.2376,5.016,62.0786,511.4842,-0.179
QAT-Go Local,FixedGrowth_4,growth_baseline,30,12,340.8241,568.1282,5.0582,229.5685,519.6806,-0.179
QAT-Go Local,Theta,statistical,30,12,342.837,508.6128,5.0881,47.9093,506.3513,-0.179
NAM-SDF,AutoARIMA,statistical,30,12,325.5633,384.9119,12.9481,-322.8984,209.5084,-0.181
QAT-Go Local,FixedGrowth_3,growth_baseline,30,12,306.4673,541.3369,4.5483,162.5726,516.3485,-0.184
TWN-Go Local,ARIMA_Fixed,statistical,30,7,287.426,436.3515,14.4679,-29.8282,435.3308,-0.187
ISR-Go Local,ARIMA_Fixed,statistical,30,12,276.1657,642.7379,26.2385,-112.7602,632.7694,-0.188
APC-Dedicated,FixedGrowth_6,growth_baseline,30,12,269.3778,499.3388,28.0744,269.3778,420.446,-0.189
APC-Dedicated,FixedGrowth_4,growth_baseline,30,12,246.1911,481.3752,25.6579,246.1911,413.6569,-0.192
APC-Dedicated,FixedGrowth_3,growth_baseline,30,12,234.5978,472.7375,24.4496,234.5978,410.4201,-0.194
APC-Dedicated,FixedGrowth_1_5,growth_baseline,30,12,217.2176,460.2475,22.6383,217.2078,405.7691,-0.196
APC-Dedicated,Theta,statistical,30,12,217.7149,457.8504,22.6901,217.5876,402.8431,-0.196
APC-Dedicated,LightGBM,machine_learning,30,12,214.8222,451.7476,22.3886,205.3172,402.3938,-0.197
APC-Dedicated,XGBoost,machine_learning,30,12,213.1862,450.5629,22.2181,204.481,401.4902,-0.197
SGP-Go Local,LightGBM,machine_learning,30,10,203.3253,263.2842,6.316,-203.218,167.3948,-0.198
GBR-Dedicated,FixedGrowth_6,growth_baseline,30,12,197.4285,253.5462,22.7097,115.3918,225.7663,-0.199
GBR-Dedicated,FixedGrowth_4,growth_baseline,30,12,183.8888,244.7648,21.1522,96.8116,224.8051,-0.201
APC-MSIT,FixedGrowth_6,growth_baseline,30,12,175.1095,198.688,7.5216,175.1095,93.8808,-0.202
GBR-Dedicated,FixedGrowth_3,growth_baseline,30,12,177.1189,240.8049,20.3735,87.5215,224.3368,-0.202
GBR-Dedicated,XGBoost,machine_learning,30,12,178.496,257.9091,20.5319,26.8213,256.5106,-0.202
GBR-Dedicated,FixedGrowth_1_5,growth_baseline,30,12,166.9641,235.4446,19.2054,73.5863,223.6498,-0.203
SGP-Go Local,XGBoost,machine_learning,30,10,167.0053,221.4106,5.1877,-167.0053,145.3681,-0.203
GBR-Dedicated,LinearRegression,machine_learning,30,12,162.6848,219.1388,18.7132,71.848,207.0258,-0.204
GBR-Dedicated,AutoARIMA,statistical,30,12,163.2686,212.7575,18.7803,105.9676,184.4901,-0.204
GBR-Dedicated,ETS Explicit,statistical,30,12,163.7204,233.6913,18.8323,68.3074,223.4854,-0.204
GBR-Dedicated,Theta,statistical,30,12,162.58,225.6293,18.7011,76.1697,212.3835,-0.204
APC-MSIT,ETS_Current,statistical,30,12,158.5184,287.1587,6.8089,67.7437,279.0536,-0.205
NAM-SDF,Theta,statistical,30,12,153.0455,178.7047,6.0868,-56.5144,169.5331,-0.205
SGP-Go Local,LinearRegression,machine_learning,30,10,156.6208,193.5724,4.8652,64.7792,182.4114,-0.205
APC-MSIT,Theta,statistical,30,12,148.9977,163.8301,6.4,23.7886,162.0939,-0.206
GBR-Dedicated,LightGBM,machine_learning,30,12,146.8092,210.5903,16.8871,56.8103,202.7828,-0.206
SGP-Go Local,Theta,statistical,30,10,148.0465,176.4976,4.5988,-140.8631,106.3437,-0.206
SGP-Go Local,FixedGrowth_1_5,growth_baseline,30,10,143.0135,163.484,4.4425,-97.2478,131.4149,-0.207
SGP-Go Local,FixedGrowth_3,growth_baseline,30,10,142.6414,147.8105,4.4309,-51.1101,138.6929,-0.207
SGP-Go Local,FixedGrowth_4,growth_baseline,30,10,142.3934,145.3351,4.4232,-20.3516,143.9031,-0.207
SGP-Go Local,FixedGrowth_6,growth_baseline,30,10,141.8974,160.4243,4.4078,41.1654,155.0528,-0.207
APC-MSIT,FixedGrowth_4,growth_baseline,30,12,127.8793,157.0616,5.4929,127.8793,91.1879,-0.209
EUR-MSIT,FixedGrowth_6,growth_baseline,30,12,118.3883,125.2622,6.5958,118.3883,40.9247,-0.21
NAM-SDF,FixedGrowth_6,growth_baseline,30,12,116.5406,143.8874,4.635,69.548,125.9629,-0.21
NAM-SDF,ETS Explicit,statistical,30,12,118.4938,132.7866,4.7127,-52.1728,122.1077,-0.21
SGP-Go Local,ETS Explicit,statistical,30,10,119.3063,137.1759,3.706,28.9168,134.0934,-0.21
APC-MSIT,ARIMA_Fixed,statistical,30,12,110.7059,158.8154,4.7552,-1.2381,158.8106,-0.211
NAM-SDF,FixedGrowth_1_5,growth_baseline,30,12,115.3826,128.6247,4.5889,-40.1464,122.1989,-0.211
NAM-SDF,FixedGrowth_3,growth_baseline,30,12,109.9945,123.1742,4.3746,-3.5816,123.1221,-0.211
NAM-SDF,FixedGrowth_4,growth_baseline,30,12,110.3448,125.6568,4.3886,20.7949,123.9242,-0.211
APC-MSIT,FixedGrowth_3,growth_baseline,30,12,107.2772,137.6441,4.6079,104.2642,89.8604,-0.212
APC-MSIT,LightGBM,machine_learning,30,12,104.03,125.0848,4.4685,16.0027,124.0569,-0.212
EUR-MSIT,ARIMA_Fixed,statistical,30,12,107.5017,160.3974,5.9893,-27.1068,158.0903,-0.212
MEX-Go Local,LightGBM,machine_learning,30,12,105.6408,111.0281,9.6664,-103.4637,40.2803,-0.212
MEX-Go Local,XGBoost,machine_learning,30,12,95.2554,104.2452,8.7161,-88.8347,54.5478,-0.213
APC-MSIT,LinearRegression,machine_learning,30,12,93.4818,120.2709,4.0154,55.8683,106.5074,-0.214
APC-MSIT,AutoARIMA,statistical,30,12,91.5864,115.5449,3.934,35.0587,110.0977,-0.214
MEX-Go Local,ETS_Current,statistical,30,12,88.5766,205.4984,8.105,-60.8489,196.283,-0.214
APC-MSIT,FixedGrowth_1_5,growth_baseline,30,12,81.3331,111.6448,3.4936,68.8416,87.8943,-0.215
APC-MSIT,XGBoost,machine_learning,30,12,83.9394,106.4072,3.6055,36.6786,99.8858,-0.215
EUR-MSIT,FixedGrowth_4,growth_baseline,30,12,82.2887,91.5074,4.5846,82.2887,40.0271,-0.215
ISR-Go Local,LightGBM,machine_learning,30,12,81.447,93.2089,7.7383,-78.8561,49.6951,-0.215
MEX-Go Local,FixedGrowth_1_5,growth_baseline,30,12,81.927,91.8383,7.4965,-73.4236,55.1657,-0.215
MEX-Go Local,LinearRegression,machine_learning,30,12,83.9215,127.8808,7.679,21.0278,126.1401,-0.215
MEX-Go Local,Theta,statistical,30,12,80.3951,90.2091,7.3564,-71.6586,54.7972,-0.215
APC-MSIT,ETS Explicit,statistical,30,12,77.344,101.5216,3.3222,50.1564,88.2665,-0.216
ISR-Go Local,ETS_Current,statistical,30,12,77.5939,136.0699,7.3722,-14.8098,135.2616,-0.216
SGP-Go Local,ARIMA_Fixed,statistical,30,10,77.628,104.2519,2.4114,24.5449,101.3213,-0.216
ISR-Go Local,XGBoost,machine_learning,30,12,72.1793,82.385,6.8578,-67.6034,47.0857,-0.217
MEX-Go Local,FixedGrowth_3,growth_baseline,30,12,68.9317,81.1595,6.3074,-58.3579,56.4023,-0.217
EUR-MSIT,FixedGrowth_3,growth_baseline,30,12,64.2389,75.4564,3.579,64.2389,39.5858,-0.218
EUR-MSIT,LightGBM,machine_learning,30,12,61.6521,84.1445,3.4349,-17.8333,82.2331,-0.218
ISR-Go Local,ETS Explicit,statistical,30,12,64.3595,142.1094,6.1148,-37.6141,137.0411,-0.218
MEX-Go Local,FixedGrowth_4,growth_baseline,30,12,60.2682,75.036,5.5147,-48.3142,57.412,-0.218
NZL-Go Local,LightGBM,machine_learning,30,7,59.2293,94.6938,17.1736,-59.2293,73.8837,-0.218
