entity_key,window_id,train_start_date,train_end_date,test_start_date,test_end_date,train_observations,test_observations
NAM-MSIT,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-MSIT,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-MSIT,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-MSIT,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-MSIT,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-MSIT,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-MSIT,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-MSIT,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-MSIT,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-MSIT,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-MSIT,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-Multitenant,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
NAM-Multitenant,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-Multitenant,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-Multitenant,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-Multitenant,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-Multitenant,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-Multitenant,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-Multitenant,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-Multitenant,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-Multitenant,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-Multitenant,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-Multitenant,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-SDF,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1757,60
NAM-SDF,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1817,60
NAM-SDF,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1877,60
NAM-SDF,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1937,60
NAM-SDF,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,1997,60
NAM-SDF,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2057,60
NAM-SDF,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2117,60
NAM-SDF,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2177,60
NAM-SDF,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2237,60
NAM-SDF,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2297,60
NAM-SDF,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2357,60
NAM-SDF,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2417,60
NAM-TDF,1,2021-01-09,2024-05-07,2024-05-08,2024-07-06,1192,60
NAM-TDF,3,2021-01-09,2024-09-04,2024-09-05,2024-11-03,1309,60
NAM-TDF,4,2021-01-09,2024-11-03,2024-11-04,2025-01-02,1369,60
NAM-TDF,5,2021-01-09,2025-01-02,2025-01-03,2025-03-03,1429,60
NAM-TDF,6,2021-01-09,2025-03-03,2025-03-04,2025-05-02,1489,60
NAM-TDF,7,2021-01-09,2025-05-02,2025-05-03,2025-07-01,1549,60
NAM-TDF,8,2021-01-09,2025-07-01,2025-07-02,2025-08-30,1609,60
NAM-TDF,9,2021-01-09,2025-08-30,2025-08-31,2025-10-29,1669,60
NAM-TDF,10,2021-01-09,2025-10-29,2025-10-30,2025-12-28,1729,60
NAM-TDF,11,2021-01-09,2025-12-28,2025-12-29,2026-02-26,1789,60
NAM-TDF,12,2021-01-09,2026-02-26,2026-02-27,2026-04-27,1849,60
NOR-Go Local,1,2020-03-08,2024-05-07,2024-05-08,2024-07-06,1522,60
NOR-Go Local,2,2020-03-08,2024-07-06,2024-07-07,2024-09-04,1582,60
NOR-Go Local,3,2020-03-08,2024-09-04,2024-09-05,2024-11-03,1642,60
NOR-Go Local,4,2020-03-08,2024-11-03,2024-11-04,2025-01-02,1702,60
NOR-Go Local,5,2020-03-08,2025-01-02,2025-01-03,2025-03-03,1762,60
NOR-Go Local,6,2020-03-08,2025-03-03,2025-03-04,2025-05-02,1822,60
NOR-Go Local,7,2020-03-08,2025-05-02,2025-05-03,2025-07-01,1882,60
NOR-Go Local,8,2020-03-08,2025-07-01,2025-07-02,2025-08-30,1942,60
NOR-Go Local,9,2020-03-08,2025-08-30,2025-08-31,2025-10-29,2002,60
NOR-Go Local,10,2020-03-08,2025-10-29,2025-10-30,2025-12-28,2062,60
NOR-Go Local,11,2020-03-08,2025-12-28,2025-12-29,2026-02-26,2122,60
NOR-Go Local,12,2020-03-08,2026-02-26,2026-02-27,2026-04-27,2182,60
NZL-Go Local,10,2024-09-14,2025-10-29,2025-10-30,2025-12-28,411,60
NZL-Go Local,11,2024-09-14,2025-12-28,2025-12-29,2026-02-26,471,60
NZL-Go Local,12,2024-09-14,2026-02-26,2026-02-27,2026-04-27,531,60
POL-Go Local,1,2022-12-13,2024-05-07,2024-05-08,2024-07-06,512,60
POL-Go Local,2,2022-12-13,2024-07-06,2024-07-07,2024-09-04,572,60
POL-Go Local,3,2022-12-13,2024-09-04,2024-09-05,2024-11-03,632,60
POL-Go Local,4,2022-12-13,2024-11-03,2024-11-04,2025-01-02,692,60
POL-Go Local,5,2022-12-13,2025-01-02,2025-01-03,2025-03-03,752,60
POL-Go Local,6,2022-12-13,2025-03-03,2025-03-04,2025-05-02,812,60
POL-Go Local,7,2022-12-13,2025-05-02,2025-05-03,2025-07-01,872,60
POL-Go Local,8,2022-12-13,2025-07-01,2025-07-02,2025-08-30,932,60
POL-Go Local,9,2022-12-13,2025-08-30,2025-08-31,2025-10-29,992,60
POL-Go Local,10,2022-12-13,2025-10-29,2025-10-30,2025-12-28,1052,60
POL-Go Local,11,2022-12-13,2025-12-28,2025-12-29,2026-02-26,1112,60
POL-Go Local,12,2022-12-13,2026-02-26,2026-02-27,2026-04-27,1172,60
QAT-Go Local,1,2022-06-09,2024-05-07,2024-05-08,2024-07-06,699,60
QAT-Go Local,2,2022-06-09,2024-07-06,2024-07-07,2024-09-04,759,60
QAT-Go Local,3,2022-06-09,2024-09-04,2024-09-05,2024-11-03,819,60
QAT-Go Local,4,2022-06-09,2024-11-03,2024-11-04,2025-01-02,879,60
QAT-Go Local,5,2022-06-09,2025-01-02,2025-01-03,2025-03-03,939,60
QAT-Go Local,6,2022-06-09,2025-03-03,2025-03-04,2025-05-02,999,60
QAT-Go Local,7,2022-06-09,2025-05-02,2025-05-03,2025-07-01,1059,60
QAT-Go Local,8,2022-06-09,2025-07-01,2025-07-02,2025-08-30,1119,60
QAT-Go Local,9,2022-06-09,2025-08-30,2025-08-31,2025-10-29,1179,60
QAT-Go Local,10,2022-06-09,2025-10-29,2025-10-30,2025-12-28,1239,60
QAT-Go Local,11,2022-06-09,2025-12-28,2025-12-29,2026-02-26,1299,60
QAT-Go Local,12,2022-06-09,2026-02-26,2026-02-27,2026-04-27,1359,60
SGP-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
SGP-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
SGP-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
SGP-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
SGP-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
SGP-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
SGP-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
SGP-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2309,60
SGP-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2369,60
SGP-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2429,60
SWE-Go Local,1,2021-10-23,2024-05-07,2024-05-08,2024-07-06,928,60
SWE-Go Local,2,2021-10-23,2024-07-06,2024-07-07,2024-09-04,988,60
SWE-Go Local,3,2021-10-23,2024-09-04,2024-09-05,2024-11-03,1048,60
SWE-Go Local,4,2021-10-23,2024-11-03,2024-11-04,2025-01-02,1108,60
SWE-Go Local,5,2021-10-23,2025-01-02,2025-01-03,2025-03-03,1168,60
SWE-Go Local,6,2021-10-23,2025-03-03,2025-03-04,2025-05-02,1228,60
SWE-Go Local,7,2021-10-23,2025-05-02,2025-05-03,2025-07-01,1288,60
SWE-Go Local,8,2021-10-23,2025-07-01,2025-07-02,2025-08-30,1348,60
SWE-Go Local,9,2021-10-23,2025-08-30,2025-08-31,2025-10-29,1408,60
SWE-Go Local,10,2021-10-23,2025-10-29,2025-10-30,2025-12-28,1468,60
SWE-Go Local,11,2021-10-23,2025-12-28,2025-12-29,2026-02-26,1528,60
SWE-Go Local,12,2021-10-23,2026-02-26,2026-02-27,2026-04-27,1588,60
TWN-Go Local,10,2024-09-13,2025-10-29,2025-10-30,2025-12-28,412,60
TWN-Go Local,11,2024-09-13,2025-12-28,2025-12-29,2026-02-26,472,60
TWN-Go Local,12,2024-09-13,2026-02-26,2026-02-27,2026-04-27,532,60
ZAF-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
ZAF-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
ZAF-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
ZAF-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
ZAF-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
ZAF-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
ZAF-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
ZAF-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2309,60
ZAF-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2369,60
ZAF-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2429,60
