file_path,risk_type,detected_pattern,line_number_or_location,risk_level,why_it_matters,recommended_action
forecast_models_registry.R,project_specific_text,yv <- safe_num(y_train),line 142,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,yv <- safe_num(y_train),line 142,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"if (any(!is.finite(yv))) stop(""ETS: y_train contiene NA/Inf."")",line 143,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,"m <- forecast::ets(y_train, additive.only = additive_only)",line 148,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"m <- forecast::ets(y_train, additive.only = additive_only)",line 148,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"f <- forecast::forecast(m, h = h, level = level)",line 149,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean = safe_num(f$mean),",line 153,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,# AutoARIMA,line 163,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,autoarima = list(,line 165,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,"model_id = ""autoarima"",",line 166,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,"label_ui = ""AutoARIMA"",",line 167,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"fit_forecast_fn = function(y_train, h, level = 95, seed = NULL,",line 173,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL, xreg_future = NULL) {",line 174,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,m <- forecast::auto.arima(y_train),line 175,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,m <- forecast::auto.arima(y_train),line 175,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"f <- forecast::forecast(m, h = h, level = level)",line 176,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean = safe_num(f$mean),",line 179,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,# NNETAR (estocástico),line 189,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,nnetar = list(,line 191,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,"model_id = ""nnetar"",",line 192,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,"label_ui = ""NNETAR"",",line 193,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"fit_forecast_fn = function(y_train, h, level = 95, seed = NULL,",line 199,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL, xreg_future = NULL) {",line 200,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,m <- forecast::nnetar(y_train),line 202,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,m <- forecast::nnetar(y_train),line 202,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"f <- forecast::forecast(m, h = h, level = level)",line 203,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean = safe_num(f$mean),",line 206,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"fit_forecast_fn = function(y_train, h, level = 95, seed = NULL,",line 226,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL, xreg_future = NULL) {",line 227,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,m <- forecast::tslm(y_train ~ trend + season),line 228,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"f <- forecast::forecast(m, h = h, level = level)",line 229,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean = safe_num(f$mean),",line 232,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,#   - Prophet no acepta ts: se reconstruyen fechas desde time(y_train).,line 245,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"fit_forecast_fn = function(y_train, h, level = 95, seed = NULL,",line 260,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL, xreg_future = NULL) {",line 261,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,tt <- stats::time(y_train),line 265,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,df_train <- data.frame(,line 268,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"y  = as.numeric(y_train),",line 270,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"m <- prophet::prophet(df_train, interval.width = interval_width)",line 279,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"pred <- suppressMessages(prophet::predict(m, future_df))",line 287,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean  = safe_num(pred$yhat),",line 291,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"lower = safe_num(pred$yhat_lower),",line 292,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"upper = safe_num(pred$yhat_upper),",line 293,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"fit_forecast_fn = function(y_train, h, level = 95, seed = NULL,",line 321,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL, xreg_future = NULL) {",line 322,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,y <- as.numeric(y_train),line 327,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,# ---- 1) Reconstruir mes desde time(y_train) ----,line 330,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,tt <- stats::time(y_train),line 331,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"X_train  <- as.matrix(feat_df[valid, , drop = FALSE])",line 350,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"dtrain <- xgboost::xgb.DMatrix(data = X_train, label = y_target)",line 354,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,model_execution,m <- xgboost::xgb.train(,line 356,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,m <- xgboost::xgb.train(,line 356,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"data    = dtrain,",line 363,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,"pred_i    <- predict(m, xgboost::xgb.DMatrix(data = x_new))",line 389,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean  = safe_num(preds),",line 396,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,forecast_execution,# Runner estándar (único punto de entrada),line 415,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"y_train,",line 418,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = NULL,",line 422,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"y_train = y_train,",line 441,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,governance_violation,"xreg_train = xreg_train,",line 445,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"mean = safe_num(res$mean),",line 450,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"lower = if (!is.null(res$lower)) safe_num(res$lower) else NULL,",line 451,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
forecast_models_registry.R,project_specific_text,"upper = if (!is.null(res$upper)) safe_num(res$upper) else NULL,",line 452,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
header.R,project_specific_text,"tags$span(""Ingresos CGR"", style = ""font-weight: 600; margin-left: 6px;"")",line 10,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,runtime_data_cooking,# importacion.R  (V2 - final),line 2,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"""var_Ingresos""         = ""var.Ingresos"",",line 76,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"""var_cum_ano_Ingresos"" = ""var.cum_ano_Ingresos"",",line 78,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,# 3) Jerárquicos / ingresos,line 103,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,Ingresos         <- ds$hierarchical$ingresos_anual,line 105,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,Ingresos_0       <- ds$hierarchical$ingresos_anual_s0,line 106,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,Ingresos_mensual <- ds$hierarchical$ingresos_mensual,line 107,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"# 4) Indicadores (legacy real: server.R usa ind1$Ingresos, ind4$`var.Ingresos`, etc.)",line 110,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"indicador.1 <- data.frame(Ingresos = .kpi_value(""indicador_1""))",line 118,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"indicador.2 <- data.frame(Ingresos = .kpi_value(""indicador_2""))",line 119,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"indicador.3 <- data.frame(Ingresos = .kpi_value(""indicador_3""))",line 120,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"indicador.4 <- data.frame(`var.Ingresos` = .kpi_value(""indicador_4""))",line 121,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,project_specific_text,"indicador.6 <- data.frame(`var.cum_ano_Ingresos` = .kpi_value(""indicador_6""))",line 123,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
importacion.R,runtime_data_cooking,".vmsg(""✅ importacion.R: variables legacy cargadas."")",line 137,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,pipeline_execution,#   Punto único de carga de dependencias para toda la app/pipeline.,line 5,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,forecast_execution,"#   future, furrr  -> backtest_rolling_origin(..., parallel = TRUE)",line 15,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,forecast_execution,"#   prophet        -> run_model_forecast(""prophet"", ...)",line 16,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,forecast_execution,"#   xgboost        -> run_model_forecast(""xgboost"", ...)",line 17,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,dependency_bloat,# Se acceden vía :: en el código (no se hace library() aquí).,line 47,medium,Dependencies should be minimized for read-only display.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,forecast_execution,"""future"",   # paralelización del backtesting",line 49,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,forecast_execution,"""furrr"",    # paralelización del backtesting",line 50,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
Librerias.R,dependency_bloat,"library(pkg, character.only = TRUE, quietly = TRUE, warn.conflicts = FALSE)",line 68,medium,Dependencies should be minimized for read-only display.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,# precompute_bundles.R,line 2,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,# precompute_bundles.R,line 2,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,#   Rscript Scripts_tablas_dashboard/precompute_bundles.R,line 10,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,#   Rscript Scripts_tablas_dashboard/precompute_bundles.R,line 10,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,#   FORCE_REBUILD=1 Rscript Scripts_tablas_dashboard/precompute_bundles.R,line 13,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,#   FORCE_REBUILD=1 Rscript Scripts_tablas_dashboard/precompute_bundles.R,line 13,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,server_side_recalculation,#   .bundle_pronos1 <- reactive({,line 26,medium,Server logic must not recompute governed results.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"#     readRDS(file.path(bundles_dir, sprintf(""bundle_pronos1_h%02d.rds"",",line 27,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,forecast_execution,#   input$modelos.1 solo filtra b$backtest$resumen (no relanza el engine).,line 30,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,project_specific_text,# 1. Resolver rutas (mismo patrón que AI_SAF.R),line 38,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,hardcoded_path,setwd(app_dir),line 56,high,Hardcoded paths reduce V1 portability.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] app_dir : %s\n"", app_dir))",line 58,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] app_dir : %s\n"", app_dir))",line 58,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] FORCE_REBUILD = %s\n"", FORCE_REBUILD))",line 67,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] FORCE_REBUILD = %s\n"", FORCE_REBUILD))",line 67,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,project_specific_text,# 3. Source dependencias (mismo orden que AI_SAF.R),line 70,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(""[precompute] Cargando dependencias...\n"")",line 72,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(""[precompute] Cargando dependencias...\n"")",line 72,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,model_execution,"source(.src(""forecast_models_registry.R""))",line 77,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,forecast_execution,"source(.src(""forecast_backtesting.R""))",line 79,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"source(.src(""forecast_engine/_10_series_builders.R""))",line 80,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"source(.src(""forecast_engine/_30_engine.R""))",line 81,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,forecast_execution,"source(.src(""forecast_engine/_20_forecast_runner.R""))",line 82,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"source(.src(""forecast_engine/_20_forecast_runner.R""))",line 82,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(""[precompute] Dependencias OK.\n"")",line 85,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(""[precompute] Dependencias OK.\n"")",line 85,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,# 4. Cargar datos (tabla_2 vía pipeline canónico),line 88,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(""[precompute] Cargando tabla_2...\n"")",line 90,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(""[precompute] Cargando tabla_2...\n"")",line 90,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,# Renombrar mes_cod -> mes.cod si hace falta (mismo mapping que importacion.R),line 101,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,project_specific_text,"""var_Ingresos""         = ""var.Ingresos"",",line 115,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,project_specific_text,"""var_cum_ano_Ingresos"" = ""var.cum_ano_Ingresos"",",line 117,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"stop(""[precompute] tabla_2 no disponible o vacía. Ejecuta el pipeline primero."", call. = FALSE)",line 124,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"stop(""[precompute] tabla_2 no disponible o vacía. Ejecuta el pipeline primero."", call. = FALSE)",line 124,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] tabla_2 cargada: %d filas, %d cols.\n"",",line 127,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] tabla_2 cargada: %d filas, %d cols.\n"",",line 127,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,model_execution,"ALL_MODELS <- c(""seasonal_naive"", ""ets"", ""autoarima"", ""nnetar"", ""tslm"", ""prophet"", ""xgboost"")",line 133,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] Modelos   : %s\n"", paste(PARAMS$model_ids, collapse = "", "")))",line 150,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] Modelos   : %s\n"", paste(PARAMS$model_ids, collapse = "", "")))",line 150,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] h range   : %d-%d\n"", min(H_RANGE), max(H_RANGE)))",line 151,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] h range   : %d-%d\n"", min(H_RANGE), max(H_RANGE)))",line 151,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] bt_initial: %d  bt_step: %d\n"", PARAMS$bt_initial, PARAMS$bt_step))",line 152,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] bt_initial: %d  bt_step: %d\n"", PARAMS$bt_initial, PARAMS$bt_step))",line 152,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] Directorio creado: %s\n"", bundles_dir))",line 160,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] Directorio creado: %s\n"", bundles_dir))",line 160,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""\n[precompute] Iniciando loop h = %d..%d\n"", min(H_RANGE), max(H_RANGE)))",line 166,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""\n[precompute] Iniciando loop h = %d..%d\n"", min(H_RANGE), max(H_RANGE)))",line 166,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] h=%02d  SKIP (ya existe, FORCE_REBUILD=0)\n"", h))",line 178,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] h=%02d  SKIP (ya existe, FORCE_REBUILD=0)\n"", h))",line 178,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] h=%02d  Calculando...\n"", h))",line 191,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] h=%02d  Calculando...\n"", h))",line 191,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"cat(sprintf(""[precompute] h=%02d  WARN: %s\n"", h, conditionMessage(w)))",line 213,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"cat(sprintf(""[precompute] h=%02d  WARN: %s\n"", h, conditionMessage(w)))",line 213,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"structure(list(message = conditionMessage(e)), class = ""precompute_error"")",line 218,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,pipeline_execution,"structure(list(message = conditionMessage(e)), class = ""precompute_error"")",line 218,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
precompute_bundles.R,runtime_data_cooking,"if (inherits(bundle, ""precompute_error"")) {",line 224,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
