series_id,metric,scenario,granularity,key,signal_quality_status,champion_model,champion_validity,primary_rank_metric,primary_rank_value,runner_up_model,runner_up_value,previous_champion_p6,champion_changed
SSD__Phoenix__Forest__EURP107,SSD,NOT_APPLICABLE,Forest,EURP107,SIGNAL_PRESENT,FixedGrowth_3,MEANINGFUL_ACCURACY_RANKING,wape,0.00537257,Theta,0.00608937,FixedGrowth_3,FALSE
SSD__Phoenix__Forest__EURP119,SSD,NOT_APPLICABLE,Forest,EURP119,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.01294492,FixedGrowth_4,0.01303659,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__EURP120,SSD,NOT_APPLICABLE,Forest,EURP120,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.03632417,FixedGrowth_4,0.04114265,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__FRAP264,SSD,NOT_APPLICABLE,Forest,FRAP264,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.01902397,Theta,0.02334436,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__GBRP123,SSD,NOT_APPLICABLE,Forest,GBRP123,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.02932157,FixedGrowth_4,0.03031753,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__GBRP265,SSD,NOT_APPLICABLE,Forest,GBRP265,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.02176891,ETS Explicit,0.0220307,ARIMA_Fixed,FALSE
SSD__Phoenix__Forest__GBRP267,SSD,NOT_APPLICABLE,Forest,GBRP267,TRAILING_ZERO_LATEST_ACTUAL,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,rmse,0.00637363,FixedGrowth_3,0.00642282,ARIMA_Fixed,TRUE
SSD__Phoenix__Forest__IDNP305,SSD,NOT_APPLICABLE,Forest,IDNP305,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.07485721,Theta,0.10960863,NLIN-DLIN_FIXED,FALSE
SSD__Phoenix__Forest__INDP287,SSD,NOT_APPLICABLE,Forest,INDP287,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.08702506,ETS_Current,0.09296093,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__INDPRD01,SSD,NOT_APPLICABLE,Forest,INDPRD01,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.0798799,Theta,0.08473942,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__ISRP290,SSD,NOT_APPLICABLE,Forest,ISRP290,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.04158101,NLIN-DLIN_FIXED,0.04220938,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__ITAP293,SSD,NOT_APPLICABLE,Forest,ITAP293,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.0409322,FixedGrowth_4,0.04670898,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__JPNP286,SSD,NOT_APPLICABLE,Forest,JPNP286,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.02192653,ETS_Current,0.02626576,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__JPNP301,SSD,NOT_APPLICABLE,Forest,JPNP301,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.01305868,FixedGrowth_4,0.01661121,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__JPNPRD01,SSD,NOT_APPLICABLE,Forest,JPNPRD01,SIGNAL_PRESENT,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,0.03986856,ETS_Current,0.04159002,ETS Explicit,FALSE
SSD__Phoenix__Forest__KORP216,SSD,NOT_APPLICABLE,Forest,KORP216,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.05023825,Theta,0.05227391,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__LAMP152,SSD,NOT_APPLICABLE,Forest,LAMP152,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.02391318,Theta,0.02777452,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__LAMP215,SSD,NOT_APPLICABLE,Forest,LAMP215,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.03242721,FixedGrowth_6,0.03280045,Theta,FALSE
SSD__Phoenix__Forest__LAMPRD80,SSD,NOT_APPLICABLE,Forest,LAMPRD80,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.02959344,Theta,0.03178562,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__MEXP297,SSD,NOT_APPLICABLE,Forest,MEXP297,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.03553132,AutoARIMA,0.0418081,NLIN-DLIN_FIXED,FALSE
SSD__Phoenix__Forest__MYSP306,SSD,NOT_APPLICABLE,Forest,MYSP306,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.15266755,Theta,0.19961298,AutoARIMA,FALSE
SSD__Phoenix__Forest__NAMP100,SSD,NOT_APPLICABLE,Forest,NAMP100,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.02431314,ETS Explicit,0.0250701,ARIMA_Fixed,FALSE
SSD__Phoenix__Forest__NAMP101,SSD,NOT_APPLICABLE,Forest,NAMP101,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.31659867,LightGBM,0.32093116,FixedGrowth_1_5,FALSE
SSD__Phoenix__Forest__NAMP104,SSD,NOT_APPLICABLE,Forest,NAMP104,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.11948243,XGBoost,0.12756392,LightGBM,FALSE
SSD__Phoenix__Forest__NAMPRD07,SSD,NOT_APPLICABLE,Forest,NAMPRD07,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.0198467,LightGBM,0.02064019,ETS_Current,FALSE
SSD__Phoenix__Forest__NAMPRD08,SSD,NOT_APPLICABLE,Forest,NAMPRD08,SIGNAL_PRESENT,FixedGrowth_4,MEANINGFUL_ACCURACY_RANKING,wape,0.01426659,Theta,0.0144601,FixedGrowth_4,FALSE
SSD__Phoenix__Forest__NORP279,SSD,NOT_APPLICABLE,Forest,NORP279,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.02873061,FixedGrowth_1_5,0.02959853,XGBoost,FALSE
SSD__Phoenix__Forest__NZLP299,SSD,NOT_APPLICABLE,Forest,NZLP299,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.05877539,AutoARIMA,0.06316464,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__POLP291,SSD,NOT_APPLICABLE,Forest,POLP291,SIGNAL_PRESENT,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,0.0711508,ETS_Current,0.07116109,ETS Explicit,FALSE
SSD__Phoenix__Forest__QATP289,SSD,NOT_APPLICABLE,Forest,QATP289,SIGNAL_PRESENT,FixedGrowth_4,MEANINGFUL_ACCURACY_RANKING,wape,0.01725723,FixedGrowth_6,0.01843699,FixedGrowth_4,FALSE
SSD__Phoenix__Forest__SGPP274,SSD,NOT_APPLICABLE,Forest,SGPP274,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.07215815,FixedGrowth_6,0.07439399,Theta,FALSE
SSD__Phoenix__Forest__SWEP280,SSD,NOT_APPLICABLE,Forest,SWEP280,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.0832051,FixedGrowth_4,0.08465421,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__TWNP295,SSD,NOT_APPLICABLE,Forest,TWNP295,SIGNAL_PRESENT,LinearRegression,MEANINGFUL_ACCURACY_RANKING,wape,0.19890103,AutoARIMA,0.22135044,LinearRegression,FALSE
SSD__Phoenix__Forest__ZAFP275,SSD,NOT_APPLICABLE,Forest,ZAFP275,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.03505386,FixedGrowth_6,0.03557043,Theta,FALSE
